idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1620000E713000,1000,523,220,69.9,75.9,20.1,130.8,35.9,11549958.1,19127,52.2,167.8,10.7,24,23.2,133.9,28.2,0,14.9,6.9,27,67.1,41.9,45.9,136.3,84.1,70,27.9,1
CRS5490RES1000mN1620000E716000,1000,278,108,13,26.9,10,81.1,27,8151506.1,10842,9.2,98.8,2,12.9,16.2,72.9,4,0,14.2,8,24,28.1,20.2,39.8,69.8,31.7,35,7.2,0
CRS5490RES1000mN1620000E717000,1000,393.5,156.9,20.8,43.9,9,114.1,26.9,12020470.8,16560.1,26.9,130,0,9,20.9,116.9,10.1,0,19.8,11,31.6,38,28.2,58.1,102,49,43,12.8,0
CRS5490RES1000mN1620000E718000,1000,122,56.9,16,20.9,2.9,35,6.2,2332631.2,5152,3.9,53,1,12.2,15.9,25.1,2.7,0,2.9,0.8,2.9,4.6,6.6,15.8,24.1,23.2,35,6.1,0
CRS5490RES1000mN1620000E719000,1000,298,135.9,43.1,53.1,7.4,82,22.8,5761589,10524.9,12,123.9,7,24.1,21,52.8,31,0,4.4,1,17.4,14.3,11.8,32.1,68.8,70.4,57.8,19,1
CRS5490RES1000mN1620000E720000,1000,210.5,104.8,38.9,47.9,4,62,14.9,3746850.6,7228,6.9,97.9,7.8,30.1,16.1,44,6.8,0,1.8,0,5,13.3,13.8,17.2,59,52.1,37.1,11.2,0
CRS5490RES1000mN1620000E721000,1000,194,88.2,33.3,35.1,6,55.8,13,3596467.5,6726.2,7.3,80.9,6,13.2,20.8,39.2,9,0,2.8,0,5,17.1,9,28.9,37.9,43.5,35,14.8,0
CRS5490RES1000mN1620000E727000,1000,67.5,28,9.1,10,3,22,4,1423550.1,2619,1,27,0,2,5,17,4,0,3,3,3,6.5,4,7,19,11.9,7,3.1,0
CRS5490RES1000mN1621000E705000,1000,23,11.1,1,2.1,0,6,4.9,647366.1,1130.8,2,9.1,1,3.1,3.8,2.1,1.1,0,0,0.9,1,1.1,0,3.8,3.8,8.1,1.2,3.1,0
CRS5490RES1000mN1621000E706000,1000,245,107.9,24.1,38.2,8.1,69.9,20,6070246.9,9640,25.9,82,5,23,27,52.1,0.8,0,5.9,5.1,11,27.8,14,26,51.1,41.2,40,22.9,0
CRS5490RES1000mN1621000E707000,1000,277,113.2,29,36,12.9,71.9,23,5577829.9,9184.2,57.9,55.3,2,9.3,34.9,67,0,0,7.9,5.1,16,21.9,21,34,52.9,38.1,63.1,17,0
